,store,addr,lat,lng
130,구의사거리점,서울 광진구 광나루로 508 (구의동),0.0,0.0
131,구의역점,서울 광진구 구의로 4 (구의동),0.0,0.0
132,구의자양로점,서울 광진구 자양로 251 (구의동),37.548993161964745,127.0893030454462
133,군자역점,"서울 광진구 능동로 290 (능동, 삼일빌딩)",0.0,0.0
134,동서울터미널점,서울 광진구 구의동 ,0.0,0.0
135,세종대후문점,서울 광진구 군자로 109 (군자동),0.0,0.0
136,아차산역점,서울 광진구 천호대로 663 (구의동),0.0,0.0
137,자양동점,서울 광진구 자양로 46 (자양동),0.0,0.0
138,자양사거리점,서울 광진구 자양로 81 (자양동),37.5351324957877,127.083842770754
139,자양우성점,"서울 광진구 자양번영로 34 (자양동, 제이원하이텔)",37.5351324957877,127.083842770754
140,중곡대원점,서울 광진구 용마산로 111 (중곡동),37.5351324957877,127.083842770754
141,중곡신성점,"서울 광진구 용마산로 37 (중곡동, 이안빌딩)",37.557021695282,127.087723525693
142,중곡중앙점,서울 광진구 능동로 330 (중곡동),0.0,0.0
143,혜민병원점,"서울 광진구 자양로 85 (자양동, 혜민병원)",37.5354377087993,127.083398686427
144,개봉북부점,서울 구로구 경인로40길 12 (개봉동),37.5354377087993,127.083398686427
145,개봉역점,서울 구로구 남부순환로97길 11 (개봉동),37.49425567906598,126.85837744421302
146,개봉현대점,서울 구로구 개봉로 69 (개봉동),0.0,0.0
147,고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",37.50590782693333,126.8582904039366
148,고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",37.49757339497824,126.86392369544527
149,구로NC점,서울 구로구 구로동로 240 (구로동),0.0,0.0
150,구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",37.4966251468796,126.890315032666
151,구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,37.497825883946476,126.82937821925746
152,구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",37.50618302845446,126.87671651690317
153,구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",37.50330519053889,126.88108330547095
154,구로이마트점,서울 구로구 디지털로32길 43 (구로동),37.50330519053889,126.88108330547095
155,구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",37.50246213304171,126.88136511388151
